experiment,parameter,variable,actual,top5,hit5,p_actual,neg_log_prob,brier
ablation_gnn,full_model,QS_5,backtest,,0.5013698630136987,50.136986301369866,2.8132346291867067,0.9269717255093688
ablation_gnn,no_gnn,QS_1,backtest,,0.4547945205479452,45.47945205479452,2.8473457322172666,0.9307048501342104
ablation_gnn,no_gnn,QS_2,backtest,,0.25753424657534246,25.753424657534246,3.251928203883706,0.9585280336629314
ablation_gnn,no_gnn,QS_3,backtest,,0.2465753424657534,24.65753424657534,3.3309876874488427,0.9608405562445822
ablation_gnn,no_gnn,QS_4,backtest,,0.29315068493150687,29.315068493150687,3.2312549693071655,0.9565201142105425
ablation_gnn,no_gnn,QS_5,backtest,,0.5013698630136987,50.136986301369866,2.8066887686785416,0.9261183785571432
ablation_gnn_april9,full_model,QS_1,1,"[1, 4, 2, 3, 5]",1.0,0.12115664883411238,2.110670952217566,0.8275485938587003
ablation_gnn_april9,full_model,QS_2,5,"[11, 13, 10, 9, 8]",0.0,0.04067773227568714,3.2020744547910316,0.9601195267294104
ablation_gnn_april9,full_model,QS_3,17,"[17, 18, 19, 21, 24]",1.0,0.05172553845359594,2.9618036454753573,0.9341022194876893
ablation_gnn_april9,full_model,QS_4,23,"[28, 32, 34, 31, 30]",0.0,0.04675642593272245,3.062803579586891,0.9482561670089196
ablation_gnn_april9,full_model,QS_5,32,"[38, 39, 37, 36, 35]",0.0,0.05284166986630404,2.940455197512744,0.9726355203530507
ablation_gnn_april9,no_gnn,QS_1,1,"[1, 2, 3, 4, 5]",1.0,0.132628965065627,2.020199785675837,0.8143933730734301
ablation_gnn_april9,no_gnn,QS_2,5,"[10, 11, 13, 9, 7]",0.0,0.03587956490108399,3.327587368367744,0.9735166222490074
ablation_gnn_april9,no_gnn,QS_3,17,"[16, 18, 21, 17, 19]",1.0,0.048081121296959614,3.0348656675429413,0.9422501537043558
ablation_gnn_april9,no_gnn,QS_4,23,"[28, 30, 33, 31, 27]",0.0,0.0454709021342386,3.0906826711344535,0.9530154176328346
ablation_gnn_april9,no_gnn,QS_5,32,"[39, 38, 37, 36, 35]",0.0,0.05765903083371559,2.8532083952080503,0.9613319112631739
loss_weight_middle,weight=1.0x,QS_1,1,"[1, 2, 3, 4, 5]",1.0,0.13199183331683975,2.02501522712154,0.8122341930588746
loss_weight_middle,weight=1.0x,QS_2,5,"[10, 12, 11, 8, 13]",0.0,0.040804462765121376,3.198963822055668,0.9606536323590378
loss_weight_middle,weight=1.0x,QS_3,17,"[21, 16, 17, 23, 24]",1.0,0.04994719741738261,2.9967888832217815,0.9388941738582489
loss_weight_middle,weight=1.0x,QS_4,23,"[30, 32, 28, 33, 27]",0.0,0.04225647425650586,3.163997700078144,0.9579412258737364
loss_weight_middle,weight=1.0x,QS_5,32,"[39, 37, 38, 36, 35]",0.0,0.04725794040165739,3.052134588332616,0.9796726049736029
loss_weight_middle,weight=3.0x,QS_1,1,"[2, 1, 3, 6, 4]",1.0,0.10675204866900628,2.2372464357788058,0.8487410954215567
loss_weight_middle,weight=3.0x,QS_2,5,"[15, 19, 16, 20, 18]",0.0,0.03078929837250888,3.480588104817258,0.9871442746402526
loss_weight_middle,weight=3.0x,QS_3,17,"[18, 16, 21, 23, 22]",0.0,0.06295446564992747,2.765343581374399,0.9291957204554748
loss_weight_middle,weight=3.0x,QS_4,23,"[25, 24, 23, 22, 20]",1.0,0.07512073082834556,2.5886587153176124,0.899933415816086
loss_weight_middle,weight=3.0x,QS_5,32,"[39, 38, 36, 35, 37]",0.0,0.045700481574688465,3.085646443398146,0.970029014187319
loss_weight_middle,weight=5.0x,QS_1,1,"[2, 1, 15, 3, 5]",1.0,0.0944804562890322,2.359362277627213,0.867235789247187
loss_weight_middle,weight=5.0x,QS_2,5,"[15, 17, 18, 16, 19]",0.0,0.015127815838316933,4.191220121264534,1.0289040049708744
